task,seed,method,normalized_HV,shape_error,force_MAPE
unseen LCE formulation B,14,PHSEA,0.8598254648644295,0.07539457173310742,0.12164729076743376
unseen LCE formulation B,15,PHSEA,0.8609598247964906,0.08697205322776307,0.1332180547064605
unseen LCE formulation B,16,PHSEA,0.8346620696564353,0.07210571471272019,0.1385699420194022
unseen LCE formulation B,17,PHSEA,0.8707121104498544,0.07888684761505653,0.13632513941144594
unseen LCE formulation B,18,PHSEA,0.8389604917334812,0.07885190827469533,0.12299820308214346
unseen LCE formulation B,19,PHSEA,0.8509731751131447,0.08045160898568116,0.13547346801447782
unseen LCE formulation B,20,PHSEA,0.8412561836056767,0.06435631725812346,0.12347844704176998
unseen LCE formulation B,1,MSAEA-DM,0.8430576369754216,0.09337399233848401,0.14354329316670703
unseen LCE formulation B,2,MSAEA-DM,0.8199251652606265,0.10296120207835983,0.15526141406482702
unseen LCE formulation B,3,MSAEA-DM,0.8573957668398091,0.09877359860762402,0.13364028943298278
unseen LCE formulation B,4,MSAEA-DM,0.8431593400485635,0.09125979870887141,0.15532774405785543
unseen LCE formulation B,5,MSAEA-DM,0.8419896236739285,0.08797781120911544,0.15040679395715492
unseen LCE formulation B,6,MSAEA-DM,0.854483246852349,0.08944153549663209,0.1515250432821123
unseen LCE formulation B,7,MSAEA-DM,0.8488840420728676,0.09077802338702194,0.14690412804490724
unseen LCE formulation B,8,MSAEA-DM,0.8483677366021714,0.09740717203074307,0.1449481560393515
unseen LCE formulation B,9,MSAEA-DM,0.857786196201776,0.08736160392119599,0.14785449311207816
unseen LCE formulation B,10,MSAEA-DM,0.8552939060478169,0.08923781987430464,0.15437294482376823
unseen LCE formulation B,11,MSAEA-DM,0.8413708143450408,0.08909802670904428,0.14995164797324798
unseen LCE formulation B,12,MSAEA-DM,0.832708941855387,0.09710655867380562,0.13818498402822957
unseen LCE formulation B,13,MSAEA-DM,0.831067553562833,0.1011003000460207,0.14310374716283425
unseen LCE formulation B,14,MSAEA-DM,0.8175580327731093,0.09762273677648195,0.1640205236513892
unseen LCE formulation B,15,MSAEA-DM,0.8276657219703581,0.07416645333036959,0.12890617049322992
unseen LCE formulation B,16,MSAEA-DM,0.8559577466408301,0.09259960060534467,0.15037150708126135
unseen LCE formulation B,17,MSAEA-DM,0.8516839593363896,0.08294110499809577,0.1307441368663601
unseen LCE formulation B,18,MSAEA-DM,0.8590777969238687,0.09340842463337146,0.15013334712217097
unseen LCE formulation B,19,MSAEA-DM,0.8594038490972506,0.0943863346219973,0.15161911372476566
unseen LCE formulation B,20,MSAEA-DM,0.8587189163848284,0.09095175607007996,0.14556626057146294
unseen LCE formulation B,1,AS-SMEA,0.8372731947722102,0.09181419619572265,0.14190018487196956
unseen LCE formulation B,2,AS-SMEA,0.820116837547445,0.09819099347011052,0.16557175109220784
unseen LCE formulation B,3,AS-SMEA,0.8169614958472579,0.10036516149780511,0.1652526034094877
unseen LCE formulation B,4,AS-SMEA,0.8418441275262861,0.09588767919729096,0.17599641528228602
unseen LCE formulation B,5,AS-SMEA,0.8176609993262229,0.10546801357039554,0.17087383013630192
unseen LCE formulation B,6,AS-SMEA,0.827507010411518,0.10116646347188023,0.16455085943007836
unseen LCE formulation B,7,AS-SMEA,0.8040238652500131,0.11511981886703089,0.15601294163473609
unseen LCE formulation B,8,AS-SMEA,0.8421339466122293,0.09458270990380804,0.15253184405198814
unseen LCE formulation B,9,AS-SMEA,0.8166429246045377,0.0767850760790879,0.16429290398446414
unseen LCE formulation B,10,AS-SMEA,0.8363178565626256,0.10061335210015347,0.1740383907690099
unseen LCE formulation B,11,AS-SMEA,0.8332032285730736,0.08653186328652442,0.15729648353861334
unseen LCE formulation B,12,AS-SMEA,0.8231698450478376,0.10352901704874604,0.15717646896787532
unseen LCE formulation B,13,AS-SMEA,0.8062794494780484,0.09372308993477262,0.15005540920375973
unseen LCE formulation B,14,AS-SMEA,0.828147413876623,0.09638051238089577,0.16999056494263534
unseen LCE formulation B,15,AS-SMEA,0.8403923126878311,0.10869818056385173,0.17064904040879633
unseen LCE formulation B,16,AS-SMEA,0.8337923643342279,0.1086361220064714,0.15332339120474597
unseen LCE formulation B,17,AS-SMEA,0.8217017787300445,0.10900058601832135,0.16449144101623628
unseen LCE formulation B,18,AS-SMEA,0.80504309214623,0.0897368919024306,0.16048914782359391
